data,descricao,valor
2026-07-01,IFOOD *RESTAURANTE XYZ,-45.90
2026-07-02,UBER *TRIP,-18.50
2026-07-03,SALARIO EMPRESA LTDA,3500.00
2026-07-04,NETFLIX.COM,-39.90
2026-07-05,SUPERMERCADO PAO DE ACUCAR,-230.00
2026-07-06,POSTO SHELL COMBUSTIVEIS,-150.00
2026-07-07,FARMACIA SAO JOAO,-67.30
2026-07-08,SPOTIFY PREMIUM,-19.90
2026-07-09,ALUGUEL APARTAMENTO,-1200.00
2026-07-10,RESTAURANTE OUTBACK,-89.50
2026-07-11,UBER EATS,-52.00
2026-07-12,ACADEMIA SMART FIT,-99.90
2026-07-13,AMAZON.COM.BR,-134.00
2026-07-14,CONTA DE LUZ ENEL,-210.40
2026-07-15,PADARIA BOM PAO,-23.50
2026-07-16,CINEMA CINEMARK,-45.00
2026-07-17,TRANSFERENCIA RECEBIDA JOAO,200.00
2026-07-18,CONTA DE INTERNET VIVO,-99.90
2026-07-19,LIVRARIA CULTURA,-78.00
2026-07-20,POSTO IPIRANGA COMBUSTIVEIS,-140.00
