data,descricao,valor,categoria
2026-07-01,IFOOD *RESTAURANTE XYZ,-45.9,Lazer
2026-07-02,UBER *TRIP,-18.5,Transporte
2026-07-03,SALARIO EMPRESA LTDA,3500.0,Salario
2026-07-04,NETFLIX.COM,-39.9,Assinatura
2026-07-05,SUPERMERCADO PAO DE ACUCAR,-230.0,Mercado
2026-07-06,POSTO SHELL COMBUSTIVEIS,-150.0,Transporte
2026-07-07,FARMACIA SAO JOAO,-67.3,Saude
2026-07-08,SPOTIFY PREMIUM,-19.9,Assinatura
2026-07-09,ALUGUEL APARTAMENTO,-1200.0,Moradia
2026-07-10,RESTAURANTE OUTBACK,-89.5,Lazer
2026-07-11,UBER EATS,-52.0,Lazer
2026-07-12,ACADEMIA SMART FIT,-99.9,Saude
2026-07-13,AMAZON.COM.BR,-134.0,Mercado
2026-07-14,CONTA DE LUZ ENEL,-210.4,Moradia
2026-07-15,PADARIA BOM PAO,-23.5,Mercado
2026-07-16,CINEMA CINEMARK,-45.0,Lazer
2026-07-17,TRANSFERENCIA RECEBIDA JOAO,200.0,Salario
2026-07-18,CONTA DE INTERNET VIVO,-99.9,Assinatura
2026-07-19,LIVRARIA CULTURA,-78.0,Educacao
2026-07-20,POSTO IPIRANGA COMBUSTIVEIS,-140.0,Transporte
2026-07-21,EVENTO ESPECIAL,-900.0,Lazer
